DATE,DS (DU),ZC (DU)
Jan-06,258.3,
Jan-07,257.6,
Jan-08,258.4,
Jan-09,261,
Jan-10,253.9,263.8
Jan-11,255.7,
Jan-12,259.3,
Jan-13,257,252.2
Jan-14,256.6,
Jan-15,257.2,
Jan-16,260,
Jan-17,255.7,
Jan-18,253.3,
Jan-19,248.2,
Jan-20,241.6,
Jan-21,244,247.9
Jan-22,246.4,240.4
Jan-23,,234.7
Jan-24,244.1,239.5
Feb-03,243.2,
Feb-04,246.1,
Feb-05,248.5,
Feb-06,248.5,
Feb-07,245.9,
Feb-08,253.4,
Feb-09,250.9,
Feb-10,252.8,
Feb-11,249,240.6
Feb-12,248.8,
Feb-13,250.1,244.2
Feb-14,254.9,
Feb-15,260.8,
Feb-16,257.3,
Feb-17,252.7,
Feb-18,251.5,
Feb-19,257,
Feb-20,258.2,
Feb-21,265,
Feb-22,258.8,
Mar-03,255.7,
Mar-04,252.2,239.5
Mar-05,249.8,
Mar-06,245.5,
Mar-07,246.4,
Mar-08,248.4,235.8
Mar-09,245.8,237
Mar-10,,240.8
Mar-11,250,245.2
Mar-12,249.7,
Mar-13,247.1,
Mar-14,241.5,239.1
Mar-15,246.9,
Mar-16,249.6,247.8
Mar-17,240.8,240.6
Mar-18,248.9,238.9
Mar-19,245.8,
Mar-20,243.1,236.8
Mar-21,247.2,240.7
Mar-22,243.3,241.6
Apr-01,246.1,235.5
Apr-02,249,240.4
Apr-03,254.9,249.8
Apr-04,258.3,250.5
Apr-05,263.2,249.2
Apr-06,261.2,257.4
Apr-07,261.6,258.6
Apr-08,262.2,
Apr-09,261.5,245.8
Apr-10,260.8,
Apr-11,253.5,248.7
Apr-12,257.6,256.8
Apr-13,259.3,248.6
Apr-14,260.5,
Apr-15,,252.9
Apr-16,,248.2
Apr-17,,248.3
Apr-18,260.2,253.7
May-02,266.6,
May-05,,256
May-08,265.2,251.1
May-11,259.5,259.1
May-14,,244.5
May-17,259.4,248.7
May-20,264.7,251.9
May-23,265.7,245.2
May-26,262.4,253.6
May-29,265.9,
May-32,260.5,258.3
May-35,,256.6
May-38,259.7,255
May-41,264.7,261.1
May-44,259.8,248.7
